trip_id,user_id,driver_id,city,state,request_time,pickup_time,dropoff_time,distance_km,base_fare,surge_multiplier,surge_amount,discount,tolls,fare_total,ride_category,payment_method,status,wait_time_min,trip_time_min,rating,vehicle
1,user_1013,driver_448,Recife,PE,2024-11-21 18:33:00,2024-11-21 18:37:00,2024-11-21 19:30:00,12.95,27.08,1.5,13.54,2.55,3.24,41.31,Uber Comfort,Pix,Concluída,4,53,4.1,Gol
2,user_115,driver_281,Recife,RS,2024-09-06 19:58:00,2024-09-06 20:09:00,2024-09-06 20:29:00,8.58,14.63,1.0,0.0,3.21,8.39,19.81,Uber Comfort,Pix,Concluída,11,20,4.3,Onix
3,user_531,driver_543,Curitiba,RS,2024-04-28 23:52:00,2024-04-28 23:53:00,2024-04-29 00:43:00,28.92,49.06,1.0,0.0,2.52,8.11,54.65,UberX,Dinheiro,Concluída,1,50,4.1,Onix
4,user_437,driver_412,São Paulo,PR,2024-09-30 00:53:00,2024-09-30 01:01:00,2024-09-30 01:13:00,17.3,46.14,1.0,0.0,0.65,3.12,48.61,Uber Black,Pix,Concluída,8,12,4.0,Argo
5,user_260,driver_137,Salvador,DF,2024-10-21 09:24:00,2024-10-21 09:25:00,2024-10-21 10:03:00,1.9,3.46,2.0,3.46,0.24,2.38,9.06,UberX,Pix,Concluída,1,38,3.7,Corolla
6,user_612,driver_3,Curitiba,RS,2024-08-28 06:05:00,2024-08-28 06:15:00,2024-08-28 06:57:00,6.45,11.34,1.0,0.0,3.39,1.4,9.35,Uber Comfort,Pix,Concluída,10,42,4.5,Onix
7,user_217,driver_141,Belo Horizonte,PE,2024-10-18 22:53:00,2024-10-18 23:02:00,2024-10-18 23:39:00,15.81,40.53,1.0,0.0,4.46,9.98,46.05,Uber Black,Cartão,Concluída,9,37,4.9,Argo
8,user_634,driver_351,Rio de Janeiro,PE,2024-06-15 16:21:00,2024-06-15 16:28:00,2024-06-15 17:16:00,2.09,6.23,1.5,3.12,0.16,9.44,18.63,Uber Comfort,Pix,Concluída,7,48,3.4,Creta
9,user_691,driver_91,Belo Horizonte,MG,2024-03-04 15:04:00,2024-03-04 15:07:00,2024-03-04 15:43:00,20.5,49.01,1.0,0.0,3.82,2.55,47.74,Uber Comfort,Cartão,Concluída,3,36,3.5,Civic
10,user_354,driver_142,Salvador,PE,2024-07-24 04:03:00,2024-07-24 04:09:00,2024-07-24 04:15:00,11.9,31.06,1.0,0.0,0.37,1.33,32.02,Uber Black,Dinheiro,Concluída,6,6,3.5,Corolla
11,user_1085,driver_205,Porto Alegre,DF,2024-12-02 07:13:00,2024-12-02 07:17:00,2024-12-02 07:56:00,19.15,34.37,1.0,0.0,2.61,8.63,40.39,Uber Black,Dinheiro,Concluída,4,39,4.7,Creta
12,user_286,driver_271,Curitiba,SP,2024-09-30 19:50:00,2024-09-30 20:02:00,2024-09-30 20:18:00,4.6,7.43,1.0,0.0,4.16,3.53,6.8,Uber Black,Cartão,Concluída,12,16,5.0,Renegade
13,user_607,driver_293,Porto Alegre,RJ,2024-12-04 20:32:00,2024-12-04 20:33:00,2024-12-04 21:13:00,29.89,73.08,1.0,0.0,0.22,2.33,75.19,Uber Black,Dinheiro,Concluída,1,40,4.0,Creta
14,user_274,driver_557,Rio de Janeiro,PE,2024-12-01 10:00:00,2024-12-01 10:13:00,2024-12-01 10:34:00,19.64,49.63,1.0,0.0,1.32,2.71,51.02,UberX,Dinheiro,Concluída,13,21,4.9,HB20
15,user_262,driver_33,Porto Alegre,SP,2024-08-27 17:59:00,2024-08-27 18:00:00,2024-08-27 18:08:00,6.17,10.33,1.0,0.0,2.64,4.45,12.14,Uber Comfort,Cartão,Concluída,1,8,4.6,Renegade
16,user_574,driver_128,São Paulo,RJ,2024-01-04 09:56:00,2024-01-04 10:00:00,2024-01-04 10:29:00,29.91,58.57,1.0,0.0,1.23,6.72,64.06,Uber Black,Pix,Concluída,4,29,4.7,Argo
17,user_1184,driver_250,Curitiba,DF,2024-02-24 11:14:00,2024-02-24 11:24:00,2024-02-24 12:09:00,19.2,49.92,2.0,49.92,1.59,3.09,101.34,Uber Black,Dinheiro,Concluída,10,45,3.6,Civic
18,user_708,driver_336,Porto Alegre,RS,2024-02-08 07:04:00,2024-02-08 07:17:00,2024-02-08 07:45:00,13.91,37.51,1.5,18.75,2.18,9.73,63.81,Uber Black,Pix,Concluída,13,28,4.7,Renegade
19,user_147,driver_277,Rio de Janeiro,RJ,2024-04-21 22:51:00,2024-04-21 23:04:00,2024-04-21 23:33:00,18.34,42.67,1.0,0.0,2.8,5.3,45.17,Uber Comfort,Pix,Concluída,13,29,4.2,Civic
20,user_381,driver_175,Salvador,SP,2024-03-18 16:17:00,2024-03-18 16:29:00,2024-03-18 17:00:00,19.2,32.85,1.0,0.0,0.8,1.48,33.53,Uber Black,Dinheiro,Concluída,12,31,3.4,Argo
21,user_319,driver_552,Rio de Janeiro,DF,2024-04-24 11:00:00,2024-04-24 11:12:00,2024-04-24 11:20:00,2.06,4.3,1.5,2.15,1.42,6.87,11.9,UberX,Dinheiro,Concluída,12,8,4.3,Creta
22,user_790,driver_439,Rio de Janeiro,RJ,2024-08-26 06:50:00,2024-08-26 07:03:00,2024-08-26 07:09:00,25.61,47.83,1.0,0.0,0.92,9.1,56.01,Uber Black,Cartão,Concluída,13,6,3.4,Corolla
23,user_898,driver_78,Rio de Janeiro,MG,2024-11-29 09:11:00,2024-11-29 09:15:00,2024-11-29 10:09:00,17.29,27.59,1.0,0.0,1.69,3.88,29.78,Uber Black,Dinheiro,Concluída,4,54,3.5,Gol
24,user_379,driver_14,São Paulo,BA,2024-05-09 19:09:00,2024-05-09 19:21:00,2024-05-09 20:19:00,12.85,30.13,1.0,0.0,3.54,4.53,31.12,Uber Black,Dinheiro,Em andamento,12,58,3.6,Creta
25,user_1042,driver_65,São Paulo,DF,2024-10-10 02:29:00,2024-10-10 02:44:00,2024-10-10 03:18:00,13.4,28.15,1.0,0.0,1.44,5.67,32.38,UberX,Pix,Cancelada,15,34,3.7,Civic
26,user_75,driver_486,São Paulo,PE,2024-10-03 10:41:00,2024-10-03 10:48:00,2024-10-03 11:03:00,26.21,68.21,1.5,34.1,3.58,8.41,107.14,Uber Comfort,Dinheiro,Concluída,7,15,3.7,Civic
27,user_129,driver_345,São Paulo,RJ,2024-05-16 17:45:00,2024-05-16 17:54:00,2024-05-16 18:22:00,10.88,22.43,1.0,0.0,2.24,6.97,27.16,UberX,Dinheiro,Concluída,9,28,4.0,Renegade
28,user_434,driver_474,Rio de Janeiro,MG,2024-09-06 09:46:00,2024-09-06 09:51:00,2024-09-06 10:19:00,19.08,40.35,1.0,0.0,3.31,6.38,43.42,Uber Comfort,Dinheiro,Cancelada,5,28,3.8,HB20
29,user_264,driver_72,Rio de Janeiro,BA,2024-08-01 12:13:00,2024-08-01 12:14:00,2024-08-01 12:45:00,8.38,21.36,2.0,21.36,2.81,1.48,41.39,UberX,Pix,Concluída,1,31,3.7,HB20
30,user_325,driver_163,Belo Horizonte,MG,2024-12-25 07:23:00,2024-12-25 07:30:00,2024-12-25 08:30:00,1.74,5.03,1.0,0.0,3.68,1.41,2.76,Uber Comfort,Pix,Concluída,7,60,3.7,HB20
31,user_947,driver_134,Belo Horizonte,PE,2024-02-28 05:49:00,2024-02-28 05:57:00,2024-02-28 06:08:00,23.09,44.27,2.0,44.27,3.87,9.22,93.89,Uber Comfort,Pix,Concluída,8,11,4.4,HB20
32,user_366,driver_334,Porto Alegre,RJ,2024-02-09 22:33:00,2024-02-09 22:36:00,2024-02-09 23:13:00,25.32,58.94,1.0,0.0,0.43,6.27,64.78,Uber Black,Dinheiro,Concluída,3,37,4.7,Kwid
33,user_319,driver_353,Brasília,RJ,2024-07-15 21:32:00,2024-07-15 21:45:00,2024-07-15 22:18:00,29.38,86.0,2.0,86.0,0.72,1.64,172.92,Uber Comfort,Pix,Concluída,13,33,4.7,Kwid
34,user_1043,driver_560,Salvador,DF,2024-02-03 12:39:00,2024-02-03 12:47:00,2024-02-03 13:32:00,10.65,23.5,1.0,0.0,0.25,3.88,27.13,Uber Comfort,Cartão,Concluída,8,45,4.4,Corolla
35,user_765,driver_11,Salvador,PE,2024-02-07 17:12:00,2024-02-07 17:27:00,2024-02-07 18:25:00,29.73,74.24,2.0,74.24,3.62,5.43,150.29,Uber Black,Pix,Concluída,15,58,4.4,Argo
36,user_472,driver_149,Salvador,RS,2024-10-31 20:52:00,2024-10-31 20:57:00,2024-10-31 21:16:00,9.75,26.68,1.0,0.0,4.42,0.62,22.88,Uber Black,Pix,Concluída,5,19,4.7,Onix
37,user_1176,driver_327,Brasília,DF,2024-12-21 20:16:00,2024-12-21 20:26:00,2024-12-21 20:44:00,20.23,31.34,1.0,0.0,0.42,3.03,33.95,Uber Comfort,Dinheiro,Concluída,10,18,3.8,Corolla
38,user_1028,driver_479,Belo Horizonte,RJ,2024-08-11 21:04:00,2024-08-11 21:16:00,2024-08-11 22:11:00,24.95,65.76,1.0,0.0,3.39,2.02,64.39,Uber Comfort,Cartão,Cancelada,12,55,3.8,Kwid
39,user_304,driver_488,São Paulo,PR,2024-01-12 10:14:00,2024-01-12 10:20:00,2024-01-12 10:33:00,12.1,23.65,1.0,0.0,1.29,7.32,29.68,UberX,Cartão,Concluída,6,13,4.2,HB20
40,user_1015,driver_120,Brasília,BA,2024-11-22 17:31:00,2024-11-22 17:35:00,2024-11-22 17:58:00,16.35,48.11,2.0,48.11,3.98,2.64,94.88,Uber Black,Cartão,Concluída,4,23,3.5,Gol
41,user_1025,driver_291,Rio de Janeiro,PE,2024-08-22 21:12:00,2024-08-22 21:24:00,2024-08-22 22:06:00,4.28,10.31,2.0,10.31,0.77,2.06,21.91,Uber Black,Cartão,Concluída,12,42,5.0,Compass
42,user_533,driver_236,São Paulo,PR,2024-04-19 00:16:00,2024-04-19 00:18:00,2024-04-19 00:47:00,7.99,22.06,1.0,0.0,2.46,2.13,21.73,Uber Black,Dinheiro,Cancelada,2,29,3.1,Compass
43,user_1178,driver_369,Belo Horizonte,PR,2024-12-02 11:53:00,2024-12-02 12:02:00,2024-12-02 12:21:00,17.04,37.45,1.0,0.0,1.83,0.41,36.03,Uber Comfort,Dinheiro,Em andamento,9,19,4.8,Onix
44,user_620,driver_183,Recife,SP,2024-02-02 02:19:00,2024-02-02 02:24:00,2024-02-02 03:03:00,18.7,44.22,1.0,0.0,0.43,1.63,45.42,Uber Comfort,Pix,Cancelada,5,39,3.9,Creta
45,user_907,driver_335,Rio de Janeiro,PE,2024-07-07 21:44:00,2024-07-07 21:50:00,2024-07-07 22:11:00,22.37,61.18,1.0,0.0,3.07,3.33,61.44,UberX,Dinheiro,Concluída,6,21,4.3,Renegade
46,user_751,driver_10,Brasília,BA,2024-08-25 09:49:00,2024-08-25 09:56:00,2024-08-25 10:17:00,3.77,8.82,1.5,4.41,0.2,4.77,17.8,UberX,Pix,Concluída,7,21,5.0,Compass
47,user_196,driver_517,Salvador,RS,2024-01-08 15:58:00,2024-01-08 16:08:00,2024-01-08 16:29:00,5.67,10.19,1.5,5.09,5.0,9.55,19.83,UberX,Cartão,Concluída,10,21,3.0,Argo
48,user_1100,driver_120,Rio de Janeiro,SP,2024-02-19 03:13:00,2024-02-19 03:21:00,2024-02-19 03:39:00,29.7,60.64,2.0,60.64,4.01,6.83,124.1,Uber Comfort,Dinheiro,Concluída,8,18,3.1,Compass
49,user_74,driver_187,Brasília,PR,2024-10-04 00:44:00,2024-10-04 00:57:00,2024-10-04 01:12:00,17.78,27.01,1.0,0.0,0.48,7.13,33.66,Uber Black,Dinheiro,Concluída,13,15,4.1,HB20
50,user_463,driver_269,Curitiba,PR,2024-01-22 09:20:00,2024-01-22 09:31:00,2024-01-22 09:57:00,7.43,17.01,1.0,0.0,4.33,3.87,16.55,Uber Comfort,Cartão,Cancelada,11,26,3.1,HB20
51,user_566,driver_535,Porto Alegre,BA,2024-04-13 15:52:00,2024-04-13 15:55:00,2024-04-13 16:29:00,28.63,57.65,1.5,28.82,3.49,9.93,92.91,UberX,Pix,Cancelada,3,34,4.1,Argo
52,user_95,driver_179,Brasília,DF,2024-05-21 18:01:00,2024-05-21 18:05:00,2024-05-21 18:52:00,20.1,46.36,1.0,0.0,3.2,8.45,51.61,UberX,Cartão,Em andamento,4,47,4.7,Renegade
53,user_415,driver_339,Curitiba,SP,2024-06-02 20:54:00,2024-06-02 20:59:00,2024-06-02 21:16:00,28.13,78.18,1.0,0.0,1.9,7.64,83.92,Uber Black,Pix,Concluída,5,17,4.6,Civic
54,user_694,driver_206,Rio de Janeiro,MG,2024-10-23 21:47:00,2024-10-23 21:57:00,2024-10-23 22:56:00,14.6,32.96,1.5,16.48,2.77,9.39,56.06,Uber Black,Dinheiro,Concluída,10,59,4.3,Creta
55,user_1193,driver_327,Belo Horizonte,MG,2024-09-28 01:50:00,2024-09-28 01:54:00,2024-09-28 02:49:00,18.03,47.98,2.0,47.98,1.53,0.95,95.38,Uber Comfort,Cartão,Cancelada,4,55,4.1,Gol
56,user_848,driver_262,Curitiba,PR,2024-06-13 20:13:00,2024-06-13 20:17:00,2024-06-13 21:14:00,1.55,3.22,1.0,0.0,2.68,9.98,10.52,Uber Black,Cartão,Concluída,4,57,4.0,Creta
57,user_219,driver_442,Brasília,SP,2024-01-06 19:46:00,2024-01-06 20:00:00,2024-01-06 20:34:00,21.54,56.93,1.5,28.46,1.84,0.89,84.44,Uber Black,Cartão,Concluída,14,34,4.0,Argo
58,user_940,driver_70,Belo Horizonte,PR,2024-12-26 22:12:00,2024-12-26 22:19:00,2024-12-26 23:09:00,23.6,52.51,1.0,0.0,4.56,7.95,55.9,Uber Black,Pix,Cancelada,7,50,3.1,Corolla
59,user_665,driver_77,Belo Horizonte,RJ,2024-03-25 18:59:00,2024-03-25 19:02:00,2024-03-25 19:14:00,12.85,31.12,2.0,31.12,2.78,1.92,61.38,Uber Black,Pix,Concluída,3,12,4.4,Compass
60,user_412,driver_431,Curitiba,RJ,2024-02-26 05:40:00,2024-02-26 05:51:00,2024-02-26 06:09:00,3.21,6.81,1.0,0.0,0.14,8.89,15.56,Uber Comfort,Cartão,Concluída,11,18,3.3,Compass
61,user_305,driver_587,São Paulo,DF,2024-04-27 14:58:00,2024-04-27 15:03:00,2024-04-27 16:03:00,3.2,8.15,2.0,8.15,2.58,9.14,22.86,UberX,Cartão,Cancelada,5,60,3.9,Compass
62,user_225,driver_600,Porto Alegre,RS,2024-12-27 21:59:00,2024-12-27 22:12:00,2024-12-27 22:51:00,12.52,29.69,2.0,29.69,4.0,9.43,64.81,Uber Comfort,Dinheiro,Concluída,13,39,4.3,Argo
63,user_181,driver_524,Recife,SP,2024-12-27 20:16:00,2024-12-27 20:19:00,2024-12-27 21:14:00,7.07,14.53,2.0,14.53,1.96,7.91,35.01,Uber Black,Dinheiro,Concluída,3,55,4.1,Corolla
64,user_685,driver_180,Recife,MG,2024-07-31 13:44:00,2024-07-31 13:52:00,2024-07-31 14:12:00,1.58,2.82,2.0,2.82,4.01,3.43,5.06,Uber Comfort,Dinheiro,Concluída,8,20,4.7,Gol
